,1,2,3,4,5,6,7,8,9,10,11,12
A,1349780,908774,1288970,1492570,1564030,1351210,1176460,977623,1088050,891690,940829,779445
B,783084,699141,799006,709345,745941,790689,622041,524582,561545,410969,410656,336524
C,435174,374478,437760,424590,436027,483348,247609,257487,259139,125232,153490,130843
D,614171,699314,789727,678363,741661,696219,678472,568065,641492,350091,454317,534349
E,438002,340985,410005,490490,530849,456368,324980,266550,298870,165740,177314,375591
F,206515,272060,217454,196384,236604,181933,81493.3,96043.1,111121,60543.4,64642.4,184523
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
